,dist,temp,dTdP,pco20,gamma,popDeath,declineTime,peakPopList,carryCapList,anthroPopList,tempError,timeLeftMin,percentDone,timeElapsedMinutes,logGamma,logdTdP,logpco20,logpopDeath,logdeclineTime,logAnthroPop
0,0.934,273.15,,,,,,,10.0,,,11.569104227754805,0.06,0.006945629914601644,,,,,,
1,0.934,275.7141025641025,,,,,,,10.0,,,19.97506149344974,0.12,0.02399887243906657,,,,,,
2,0.934,278.2782051282051,,,,,,,10.0,,,21.007495279688584,0.19,0.039990222454071044,,,,,,
3,0.934,280.84230769230766,,,,,,,10.0,,,22.44987789392471,0.25,0.056265358130137125,,,,,,
4,0.934,283.40641025641025,,,,,,,10.0,,,24.52208469990761,0.31,0.07625485261281331,,,,,,
5,0.934,285.9705128205128,,,,,,,10.0,,,24.06972052068041,0.38,0.0918138305346171,,,,,,
6,0.934,288.53461538461534,,,,,,,10.0,,,24.330935037497316,0.44,0.1075292428334554,,,,,,
7,0.934,291.09871794871793,,,,,,,10.0,,,24.56228409210841,0.5,0.12342856327692668,,,,,,
8,0.934,293.6628205128205,,,,,,,10.0,,,24.683197427363616,0.56,0.1390043298403422,,,,,,
9,0.934,296.2269230769231,,,,,,,10.0,,,24.832484707011968,0.62,0.15492192109425862,,,,,,
10,0.934,298.7910256410256,,,,,,,10.0,,,24.490959996992842,0.69,0.1701617399851481,,,,,,
11,0.934,301.3551282051282,,,,,,,10.0,,,24.72440406481425,0.75,0.18683428764343263,,,,,,
12,0.934,303.91923076923075,,,,,,,10.0,,,24.83113687617298,0.81,0.2027746836344401,,,,,,
13,0.934,306.4833333333333,,,,,,,10.0,,,24.562739647518505,0.88,0.21807113488515217,,,,,,
14,0.934,309.0474358974359,,,,,,,10.0,,,24.626116188789936,0.94,0.23368210395177205,,,,,,
15,0.934,311.61153846153843,,,,,,,10.0,,,24.96042859554291,1.0,0.2521255413691203,,,,,,
16,0.934,314.175641025641,,,,,,,10.0,,,24.96969979416649,1.06,0.26751447121302285,,,,,,
