    Time (s)      Temp (K)        pCO2 (bars)    Pop (N)
    0.31622E+08    0.28744E+03    0.28436E-03    0.10521E+04
    0.63245E+08    0.28626E+03    0.28472E-03    0.10586E+04
    0.94867E+08    0.28594E+03    0.28509E-03    0.10639E+04
    0.12649E+09    0.28602E+03    0.28546E-03    0.10696E+04
    0.15811E+09    0.28619E+03    0.28583E-03    0.10759E+04
    0.18973E+09    0.28635E+03    0.28620E-03    0.10829E+04
    0.22136E+09    0.28649E+03    0.28658E-03    0.10904E+04
    0.25298E+09    0.28661E+03    0.28695E-03    0.10984E+04
    0.28460E+09    0.28671E+03    0.28733E-03    0.11068E+04
    0.31622E+09    0.28679E+03    0.28772E-03    0.11155E+04
    0.34785E+09    0.28685E+03    0.28810E-03    0.11245E+04
    0.37947E+09    0.28691E+03    0.28849E-03    0.11337E+04
    0.41109E+09    0.28695E+03    0.28888E-03    0.11432E+04
    0.44271E+09    0.28699E+03    0.28928E-03    0.11529E+04
    0.47434E+09    0.28702E+03    0.28968E-03    0.11628E+04
    0.50596E+09    0.28705E+03    0.29008E-03    0.11728E+04
    0.53758E+09    0.28707E+03    0.29048E-03    0.11830E+04
    0.56920E+09    0.28709E+03    0.29089E-03    0.11934E+04
    0.60083E+09    0.28711E+03    0.29131E-03    0.12039E+04
    0.63245E+09    0.28713E+03    0.29172E-03    0.12146E+04
    0.66407E+09    0.28714E+03    0.29214E-03    0.12254E+04
    0.69569E+09    0.28715E+03    0.29257E-03    0.12363E+04
    0.72732E+09    0.28717E+03    0.29299E-03    0.12474E+04
    0.75894E+09    0.28718E+03    0.29343E-03    0.12586E+04
    0.79056E+09    0.28718E+03    0.29386E-03    0.12699E+04
    0.82218E+09    0.28719E+03    0.29430E-03    0.12814E+04
    0.85380E+09    0.28721E+03    0.29474E-03    0.12930E+04
    0.88543E+09    0.28721E+03    0.29519E-03    0.13048E+04
    0.91705E+09    0.28722E+03    0.29564E-03    0.13166E+04
    0.94867E+09    0.28722E+03    0.29610E-03    0.13286E+04
    0.98029E+09    0.28723E+03    0.29656E-03    0.13408E+04
    0.10119E+10    0.28723E+03    0.29702E-03    0.13530E+04
    0.10435E+10    0.28724E+03    0.29749E-03    0.13654E+04
    0.10752E+10    0.28724E+03    0.29796E-03    0.13779E+04
    0.11068E+10    0.28725E+03    0.29844E-03    0.13906E+04
    0.11384E+10    0.28725E+03    0.29892E-03    0.14033E+04
    0.11700E+10    0.28725E+03    0.29940E-03    0.14162E+04
    0.12017E+10    0.28725E+03    0.29989E-03    0.14292E+04
    0.12333E+10    0.28726E+03    0.30039E-03    0.14424E+04
    0.12649E+10    0.28726E+03    0.30089E-03    0.14557E+04
    0.12965E+10    0.28726E+03    0.30139E-03    0.14691E+04
    0.13281E+10    0.28727E+03    0.30190E-03    0.14827E+04
    0.13598E+10    0.28727E+03    0.30241E-03    0.14964E+04
    0.13914E+10    0.28728E+03    0.30293E-03    0.15103E+04
    0.14230E+10    0.28728E+03    0.30345E-03    0.15242E+04
